"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SP_0EV3_P2",0.0002817,198.688,1.358,231.549,-101.206,0.302,"C1","H"
"2","10","OFAV_SP_0EV3_P2",0.0001785,171.433,0.667,217.333,15.255,0.191,"C2","CW"
"3","11","OFAV_SP_0EV3_P2",0.13,180.543,0,232,0,0,"C2","A"
"4","12","OFAV_SP_0EV3_P2",0.031,157.555,0,232,0,0,"C2","CA"
"5","13","OFAV_SP_0EV3_P2",0.0004368,160.59,0.372,223.336,-93.647,0.468,"C3","H"
"6","14","OFAV_SP_0EV3_P2",0.0002903,122.55,0.534,196.16,-102.454,0.311,"C3","CH"
"7","15","OFAV_SP_0EV3_P2",0.0003285,179.007,1.132,226.187,17.86,0.352,"C3","W"
"8","16","OFAV_SP_0EV3_P2",0.0001707,144.269,0.875,217.192,11.768,0.183,"C3","CW"
"9","17","OFAV_SP_0EV3_P2",0.123,170.398,0,233,0,0,"C3","A"
"10","18","OFAV_SP_0EV3_P2",0.053,153.496,0,231,0,0,"C3","CA"
"11","19","OFAV_SP_0EV3_P2",0.0004498,173.371,0.415,230,-94.433,0.482,"C4","H"
"12","2","OFAV_SP_0EV3_P2",0.0001205,126.626,0.333,206.574,-110.41,0.128,"C1","CH"
"13","20","OFAV_SP_0EV3_P2",0.0002791,154.728,0.691,225.966,-94.289,0.299,"C4","CH"
"14","21","OFAV_SP_0EV3_P2",0.0003198,187.063,0.612,227.112,8.13,0.342,"C4","W"
"15","22","OFAV_SP_0EV3_P2",0.0001881,165.166,0.273,217.47,6.927,0.201,"C4","CW"
"16","23","OFAV_SP_0EV3_P2",0.131,178.268,0,237,0,0,"C4","A"
"17","24","OFAV_SP_0EV3_P2",0.055,164.353,0,233,0,0,"C4","CA"
"18","25","OFAV_SP_0EV3_P2",0.0003735,161.776,0.256,222.431,-80.362,0.4,"C5","H"
"19","26","OFAV_SP_0EV3_P2",0.0002366,118.377,0,203.971,-87.054,0.254,"C5","CH"
"20","27","OFAV_SP_0EV3_P2",0.0003657,152.206,0.146,199.921,11.791,0.392,"C5","W"
"21","28","OFAV_SP_0EV3_P2",0.0001655,114.322,0.16,184.813,9.067,0.177,"C5","CW"
"22","29","OFAV_SP_0EV3_P2",0.12,167.093,0,229,0,0,"C5","A"
"23","3","OFAV_SP_0EV3_P2",0.0002895,195.952,0.168,229.12,8.276,0.31,"C1","W"
"24","30","OFAV_SP_0EV3_P2",0.052,155.895,0,228,0,0,"C5","CA"
"25","4","OFAV_SP_0EV3_P2",9.447e-05,151.587,0,215.778,3.18,0.101,"C1","CW"
"26","5","OFAV_SP_0EV3_P2",0.074,197.318,0,235,0,0,"C1","A"
"27","6","OFAV_SP_0EV3_P2",0.015,176.482,0,233,0,0,"C1","CA"
"28","7","OFAV_SP_0EV3_P2",0.0003961,182.182,109.263,225.667,-89.246,0.425,"C2","H"
"29","8","OFAV_SP_0EV3_P2",0.0002583,119.354,0.387,182.431,-98.702,0.277,"C2","CH"
"30","9","OFAV_SP_0EV3_P2",0.0003328,171.495,0.333,223,14.036,0.357,"C2","W"
