"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_2DW44",0.0003266,185.732,55.833,221.465,-75.671,0.352,"C1","H"
"2","10",10,"OFAV_SS_2DW44",0.0001731,144.962,2.748,181.077,4.574,0.186,"C2","CW"
"3","11",11,"OFAV_SS_2DW44",0.093,173.005,0,216,0,0,"C2","A"
"4","12",12,"OFAV_SS_2DW44",0.03,149.121,0,207,0,0,"C2","CA"
"5","13",13,"OFAV_SS_2DW44",0.0002974,170.105,1.941,212.626,-98.973,0.321,"C3","H"
"6","14",14,"OFAV_SS_2DW44",0.0001851,128.94,0.276,188,-99.111,0.199,"C3","CH"
"7","15",15,"OFAV_SS_2DW44",0.0003077,174.656,1.935,219.22,1.28,0.332,"C3","W"
"8","16",16,"OFAV_SS_2DW44",0.0001491,121.378,0.567,201.237,6.633,0.16,"C3","CW"
"9","17",17,"OFAV_SS_2DW44",0.079,181.022,0,226,0,0,"C3","A"
"10","18",18,"OFAV_SS_2DW44",0.03,160.769,0,226,0,0,"C3","CA"
"11","19",19,"OFAV_SS_2DW44",0.0002906,124.685,0.195,198.615,-95.778,0.313,"C4","H"
"12","2",2,"OFAV_SS_2DW44",0.0001808,128.905,1.876,193.629,-91.637,0.194,"C1","CH"
"13","20",20,"OFAV_SS_2DW44",0.0001766,129.762,0.472,179,-95.599,0.19,"C4","CH"
"14","21",21,"OFAV_SS_2DW44",0.0002811,156.639,0.199,197.024,-7.734,0.303,"C4","W"
"15","22",22,"OFAV_SS_2DW44",0.0001551,123.932,0.178,161.8,-3.814,0.167,"C4","CW"
"16","23",23,"OFAV_SS_2DW44",0.081,163.875,0,214,0,0,"C4","A"
"17","24",24,"OFAV_SS_2DW44",0.03,141.925,0,214,0,0,"C4","CA"
"18","25",25,"OFAV_SS_2DW44",0.0002966,167.291,59.247,215.333,-105.284,0.32,"C5","H"
"19","26",26,"OFAV_SS_2DW44",0.0001791,100.308,0.139,170.251,-100.501,0.193,"C5","CH"
"20","27",27,"OFAV_SS_2DW44",0.0002914,156.987,0.333,197.705,1.183,0.314,"C5","W"
"21","28",28,"OFAV_SS_2DW44",0.0001646,126.887,0.22,192.218,1.5,0.177,"C5","CW"
"22","29",29,"OFAV_SS_2DW44",0.08,174.064,0,220,0,0,"C5","A"
"23","3",3,"OFAV_SS_2DW44",0.0002931,173.715,0.171,215.333,3.366,0.315,"C1","W"
"24","30",30,"OFAV_SS_2DW44",0.034,146.823,0,220,0,0,"C5","CA"
"25","4",4,"OFAV_SS_2DW44",0.0001371,137.239,7.634,202.907,10.886,0.147,"C1","CW"
"26","5",5,"OFAV_SS_2DW44",0.077,183.834,0,229,0,0,"C1","A"
"27","6",6,"OFAV_SS_2DW44",0.027,159.529,0,222,0,0,"C1","CA"
"28","7",7,"OFAV_SS_2DW44",0.0003214,162.669,87.159,194.802,-88.468,0.346,"C2","H"
"29","8",8,"OFAV_SS_2DW44",0.0001886,102.595,0.314,177.526,-99.978,0.203,"C2","CH"
"30","9",9,"OFAV_SS_2DW44",0.0003206,169.735,1.325,198.428,-3.691,0.345,"C2","W"
