"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_9EV2",0.0002991,104.823,0.256,189.853,-83.494,0.32,"C1","H"
"2","10",10,"OFAV_SP_9EV2",0.0002124,128.631,0.294,199,6.34,0.228,"C2","CW"
"3","11",11,"OFAV_SP_9EV2",0.105,145.205,0,234,0,0,"C2","A"
"4","12",12,"OFAV_SP_9EV2",0.045,122.748,0,216,0,0,"C2","CA"
"5","13",13,"OFAV_SP_9EV2",0.0003658,144.285,0.905,207.781,-87.138,0.392,"C3","H"
"6","14",14,"OFAV_SP_9EV2",0.000247,151.317,29.806,208.031,-97.275,0.265,"C3","CH"
"7","15",15,"OFAV_SP_9EV2",0.0002921,166.483,0.333,218.679,3.066,0.313,"C3","W"
"8","16",16,"OFAV_SP_9EV2",0.0001968,147.436,78.491,212.667,6.089,0.211,"C3","CW"
"9","17",17,"OFAV_SP_9EV2",0.114,168.686,0,230,0,0,"C3","A"
"10","18",18,"OFAV_SP_9EV2",0.049,152.927,0,228,0,0,"C3","CA"
"11","19",19,"OFAV_SP_9EV2",0.0004334,117.408,0.788,194.575,-97.253,0.465,"C4","H"
"12","2",2,"OFAV_SP_9EV2",0.0001699,82.328,33.667,162,-90,0.182,"C1","CH"
"13","20",20,"OFAV_SP_9EV2",0.0002635,118.135,76.584,170,-92.268,0.282,"C4","CH"
"14","21",21,"OFAV_SP_9EV2",0.0003069,129.071,0.337,210.954,9.302,0.328,"C4","W"
"15","22",22,"OFAV_SP_9EV2",0.0002219,107.224,0.653,166,9.462,0.238,"C4","CW"
"16","23",23,"OFAV_SP_9EV2",0.144,141.679,0,227,0,0,"C4","A"
"17","24",24,"OFAV_SP_9EV2",0.058,129.162,0,227,0,0,"C4","CA"
"18","25",25,"OFAV_SP_9EV2",0.0004265,140.874,1.382,215,-101.997,0.457,"C5","H"
"19","26",26,"OFAV_SP_9EV2",0.0002141,110.373,42.441,175,-105.562,0.229,"C5","CH"
"20","27",27,"OFAV_SP_9EV2",0.0003363,129.742,0.333,187.667,-0.444,0.36,"C5","W"
"21","28",28,"OFAV_SP_9EV2",0.0001855,96.411,0,162,0,0.198,"C5","CW"
"22","29",29,"OFAV_SP_9EV2",0.107,139.994,0,218,0,0,"C5","A"
"23","3",3,"OFAV_SP_9EV2",0.0002713,79.555,0.38,169.536,17.913,0.291,"C1","W"
"24","30",30,"OFAV_SP_9EV2",0.049,122.766,0,210,0,0,"C5","CA"
"25","4",4,"OFAV_SP_9EV2",0.0001942,65.664,0.405,170.229,5.404,0.208,"C1","CW"
"26","5",5,"OFAV_SP_9EV2",0.117,110.678,0,214,0,0,"C1","A"
"27","6",6,"OFAV_SP_9EV2",0.037,94.063,0,208,0,0,"C1","CA"
"28","7",7,"OFAV_SP_9EV2",0.0003727,115.96,0.262,196.592,-103.745,0.4,"C2","H"
"29","8",8,"OFAV_SP_9EV2",0.000202,111.836,0.55,159.855,-100.437,0.216,"C2","CH"
"30","9",9,"OFAV_SP_9EV2",0.0003381,149.58,2.521,227.359,6.194,0.362,"C2","W"
